id	label	description	x	y	cluster	weight<Total  link strength>	weight<No. of pub. (2000-2021)>	weight<No. of pub. CBIII>	weight<No. of pub. CBII>	weight<No. of pub. CB>	weight<No. of pub. (2017-2018)>	weight<No. of pub. CBI>	score<Avg. pub. year>	score<Perc. pub. CB>	score<Perc. pub. CBII>	score<Perc. pub. CBIII>	score<Perc. pub. CBI>
1	1	"""<table><tr><td>Micro-level field:</td><td>1</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>lithos; precambrian research; acta petrologica sinica; contributions to mineralogy and petrology; journal of petrology</td></tr><tr><td>Terms:</td><td>tourmaline; bushveld complex; carbonatite; monazite; garnet</td></tr></table>"""	0.4277	-0.1054	4	777179	61091	0	0	0	6422	0	2011.3273	0	0	0	0
2	2	"""<table><tr><td>Micro-level field:</td><td>2</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>journal of chemical physics; journal of physical chemistry a; chemical physics letters; physical chemistry chemical physics; journal of molecular spectroscopy</td></tr><tr><td>Terms:</td><td>tilde; waals complex; cluster method; quasiclassical trajectory study; photodissociation dynamic</td></tr></table>"""	0.4783	-0.5735	3	917331	60831	0	0	0	3772	0	2008.7253	0	0	0	0
3	3	"""<table><tr><td>Micro-level field:</td><td>3</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>strategic management journal; research policy; journal of business research; international journal of technology management; journal of knowledge management</td></tr><tr><td>Terms:</td><td>open innovation; absorptive capacity; knowledge integration; knowledge management; tacit knowledge</td></tr></table>"""	0.0443	0.7715	1	900778	53363	0	2	2	5632	0	2011.7669	0.0004	1	0	0
4	4	"""<table><tr><td>Micro-level field:</td><td>4</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>carbon; applied physics letters; physical review b; nanotechnology; journal of physical chemistry c</td></tr><tr><td>Terms:</td><td>single walled carbon nanotube; chemical vapor deposition; growth; single; catalyst</td></tr></table>"""	0.6488	-0.5012	3	1052920	50595	0	6	6	3239	0	2010.0244	0.0019	1	0	0
5	5	"""<table><tr><td>Micro-level field:</td><td>5</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>tetrahedron letters; organic letters; journal of organic chemistry; tetrahedron; synlett</td></tr><tr><td>Terms:</td><td>stereoselective total synthesis; samarium diiodide; glycosidase inhibitor; discodermolide; ciguatoxin</td></tr></table>"""	0.0248	-0.7005	3	797486	48993	0	1	1	1807	0	2007.158	0.0006	1	0	0
6	6	"""<table><tr><td>Micro-level field:</td><td>6</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>monthly notices of the royal astronomical society; astrophysical journal; astronomy & astrophysics; astronomical society of the pacific conference series; astronomical journal</td></tr><tr><td>Terms:</td><td>galaxy cluster; sunyaev zel; weak lensing; galaxy group; cosmic web</td></tr></table>"""	1.2243	-0.2595	3	717658	48891	0	0	0	4671	0	2010.8796	0	0	0	0
7	7	"""<table><tr><td>Micro-level field:</td><td>7</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>molecular ecology; conservation genetics; molecular phylogenetics and evolution; conservation genetics resources; plos one</td></tr><tr><td>Terms:</td><td>microsatellite marker; polymorphic microsatellite loci; genetic structure; gene flow; genetic diversity</td></tr></table>"""	-0.2475	-0.176	4	1391104	48108	5	2	132	4702	127	2011.4186	0.0281	0.0152	0.0379	0.9621
8	8	"""<table><tr><td>Micro-level field:</td><td>8</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>crystengcomm; inorganic chemistry; crystal growth & design; inorganic chemistry communications; dalton transactions</td></tr><tr><td>Terms:</td><td>mof; metal organic framework; coordination polymer; zif; imidazol</td></tr></table>"""	0.3472	-0.632	3	1176941	47940	0	0	0	6633	0	2013.9657	0	0	0	0
9	9	"""<table><tr><td>Micro-level field:</td><td>9</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physical review b; carbon; applied physics letters; nano letters; journal of physical chemistry c</td></tr><tr><td>Terms:</td><td>graphene nanoribbon; graphene field effect transistor; epitaxial graphene; graphene growth; single layer graphene</td></tr></table>"""	0.6797	-0.5238	3	1562092	46664	0	5	5	7592	0	2014.8013	0.0007	1	0	0
10	10	"""<table><tr><td>Micro-level field:</td><td>10</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>applied physics letters; journal of crystal growth; journal of applied physics; physica status solidi c-current topics in solid state physics; japanese journal of applied physics</td></tr><tr><td>Terms:</td><td>algan gan; inn; algan gan high electron mobility transistor; gan nanowire; hydride vapor phase epitaxy</td></tr></table>"""	0.7892	-0.5183	3	278338	46447	0	0	0	4263	0	2010.7254	0	0	0	0
11	11	"""<table><tr><td>Micro-level field:</td><td>11</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>applied catalysis b-environmental; applied surface science; journal of physical chemistry c; journal of photochemistry and photobiology a-chemistry; advanced materials research</td></tr><tr><td>Terms:</td><td>photocatalytic reactor; tio2 photocatalysis; aqueous suspension; rutile tio2; anatase</td></tr></table>"""	0.5999	-0.5738	3	1238768	45166	0	0	1	5397	1	2012.5007	0.0002	0	0	1
12	12	"""<table><tr><td>Micro-level field:</td><td>12</td></tr><tr><td>Main fields:</td><td>Life and earth sciences</td></tr><tr><td>Sources:</td><td>journal of climate; climate dynamics; geophysical research letters; international journal of climatology; journal of geophysical research-atmospheres</td></tr><tr><td>Terms:</td><td>madden julian oscillation; mjo; east asian summer monsoon; climate sensitivity; tropical cyclone activity</td></tr></table>"""	0.3329	0.0273	4	870653	43935	0	0	0	5361	0	2012.456	0	0	0	0
13	13	"""<table><tr><td>Micro-level field:</td><td>13</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>journal of biological chemistry; journal of physiology-london; american journal of physiology-heart and circulatory physiology; cell calcium; american journal of physiology-cell physiology</td></tr><tr><td>Terms:</td><td>na k atpase; inositol; sarcoplasmic reticulum; trisphosphate receptor; cardiac ryanodine receptor</td></tr></table>"""	-0.7856	-0.1593	2	1051613	42442	1	11	13	1500	5	2006.464	0.0087	0.8462	0.0769	0.3846
14	14	"""<table><tr><td>Micro-level field:</td><td>14</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physical review c; aip conference proceedings; nuclear physics a; european physical journal a; journal of physics conference series</td></tr><tr><td>Terms:</td><td>superheavy element; fission; high; synthesis; lifetime measurement</td></tr></table>"""	1.2033	-0.2818	3	137946	41913	0	0	0	3639	0	2010.271	0	0	0	0
15	15	"""<table><tr><td>Micro-level field:</td><td>15</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>plos one; oncotarget; oncology letters; molecular medicine reports; oncology reports</td></tr><tr><td>Terms:</td><td>tumor suppressive microrna; microrna expression; mirna signature; serum mir; drosha</td></tr></table>"""	-0.841	-0.2166	2	1923723	41017	6	15	35	7906	31	2015.4153	0.0044	0.4286	0.1714	0.8857
16	16	"""<table><tr><td>Micro-level field:</td><td>16</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>journal of applied psychology; journal of organizational behavior; leadership quarterly; international journal of human resource management; frontiers in psychology</td></tr><tr><td>Terms:</td><td>ethical leadership; abusive supervision; leader member exchange; organizational justice; team performance</td></tr></table>"""	-0.1347	0.7717	1	906778	40930	0	0	0	5265	0	2013.3059	0	0	0	0
17	17	"""<table><tr><td>Micro-level field:</td><td>17</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>journal of high energy physics; physical review d; nuclear physics b; physics letters b; classical and quantum gravity</td></tr><tr><td>Terms:</td><td>f theory; x s; d brane; ads; orientifold</td></tr></table>"""	1.2361	-0.239	3	270220	40519	0	0	1	3741	1	2010.7609	0.0003	0	0	1
18	18	"""<table><tr><td>Micro-level field:</td><td>18</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences; Social sciences and humanities</td></tr><tr><td>Sources:</td><td>addictive behaviors; addiction; drug and alcohol dependence; alcoholism-clinical and experimental research; substance use & misuse</td></tr><tr><td>Terms:</td><td>alcohol use disorder; alcohol dependence; motivational interviewing; alcohol problem; adolescent substance use</td></tr></table>"""	-0.4904	0.5328	2	679207	40464	0	1	1	4431	0	2011.8115	0.0002	1	0	0
19	19	"""<table><tr><td>Micro-level field:</td><td>19</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>applied physics letters; applied surface science; thin solid films; journal of applied physics; journal of alloys and compounds</td></tr><tr><td>Terms:</td><td>zinc oxide thin film; zno nanorod array; zno film; zno nanowires; zinc oxide nanorod</td></tr></table>"""	0.6887	-0.5744	3	759640	39309	0	0	2	4090	2	2012.1529	0.0005	0	0	1
20	20	"""<table><tr><td>Micro-level field:</td><td>20</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physical review d; journal of cosmology and astroparticle physics; physics letters b; monthly notices of the royal astronomical society; classical and quantum gravity</td></tr><tr><td>Terms:</td><td>dark energy model; holographic dark energy; wmap; planck; cosmic microwave background</td></tr></table>"""	1.2342	-0.2518	3	479489	38987	0	0	0	4283	0	2012.1525	0	0	0	0
21	21	"""<table><tr><td>Micro-level field:</td><td>21</td></tr><tr><td>Main fields:</td><td>Social sciences and humanities</td></tr><tr><td>Sources:</td><td>economics letters; applied economics; economic modelling; applied economics letters; journal of money credit and banking</td></tr><tr><td>Terms:</td><td>power parity; unit root; exchange rate pass; optimal monetary policy; fiscal policy</td></tr></table>"""	0.0561	0.7533	1	241502	38819	0	0	0	3891	0	2011.5439	0	0	0	0
22	22	"""<table><tr><td>Micro-level field:</td><td>22</td></tr><tr><td>Main fields:</td><td>Biomedical and health sciences</td></tr><tr><td>Sources:</td><td>plos one; journal of medical virology; journal of clinical medicine; frontiers in medicine; scientific reports</td></tr><tr><td>Terms:</td><td>multisystem inflammatory syndrome; tocilizumab; prognosis; hospital mortality; pulmonary embolism</td></tr></table>"""	-0.721	-0.09	2	677489	38537	0	0	0	131	0	2020.4302	0	0	0	0
